Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Escola Secundária Júlio Dinis, Ovar;40.857075;-8.620299;Aveiro;Público;DE
Academia de Música de Paços de Brandão;40.972015;-8.589047;Aveiro;Privado;M
Academia de Música de Santa Maria;40.923767;-8.545075;Aveiro;Privado;M
Academia Música de Stª Maria;40.923965;-8.545075;Aveiro;Privado;AM
Colégio das Terras de Santa Maria;41.008797;-8.547541;Aveiro;Privado;CDE
Colégio de Lamas;40.97718;-8.570934;Aveiro;Privado;CDE
Conservatório de Música Terras de Santa Maria;40.912315;-8.526317;Aveiro;Privado;M
Escola Profissional de Paços de Brandão;40.971363;-8.588761;Aveiro;Privado;O
Escola Básica António Alves de Amorim, Lourosa, Santa Maria da Feira;40.98471;-8.5459;Aveiro;Público;CD
Escola Básica e Secundária Coelho e Castro, Fiães, Santa Maria da Feira;40.980305;-8.5231905;Aveiro;Público;CDE
Escola Básica de Argoncilhe, Santa Maria da Feira;41.01998;-8.545099;Aveiro;Público;CD
Escola Básica de Milheirós de Poiares, Santa Maria da Feira;40.92952;-8.467978;Aveiro;Público;CD
Escola Básica e Secundária de Arrifana, Santa Maria da Feira;40.917072;-8.493329;Aveiro;Público;CDE
Escola Básica de Canedo, Santa Maria da Feira;41.01194;-8.464986;Aveiro;Público;ABCD
Escola Básica de Corga do Lobão, Santa Maria da Feira;40.991592;-8.482293;Aveiro;Público;CD
Escola Básica de Paços de Brandão, Santa Maria da Feira;40.97741;-8.585906;Aveiro;Público;CD
Escola Básica e Secundária de Santa Maria da Feira;40.92303;-8.557076;Aveiro;Público;CDE
Escola Básica Professor Doutor Ferreira de Almeida, Santa Maria da Feira;40.94154;-8.533945;Aveiro;Público;CD
Escola Básica Fernando Pessoa, Santa Maria da Feira;40.92441;-8.556884;Aveiro;Público;CD
Academia de Música de S. João da Madeira;40.8937;-8.490545;Aveiro;Privado;M
Centro de Educação Integral;40.891846;-8.482019;Aveiro;Privado;ABCDE
"Externato ""D. Dinis""";40.898737;-8.502193;Aveiro;Privado;DE
Escola Básica e Secundária Dr. Serafim Leite, São João da Madeira;40.891575;-8.496042;Aveiro;Público;CDE
Escola Básica e Secundária de São João da Madeira;40.896503;-8.496554;Aveiro;Público;CDE
Escola Secundária João Silva Correia, São João da Madeira;40.913169;-8.487885;Aveiro;Público;DE
Escola Básica e Secundária Oliveira Júnior, São João da Madeira;40.892723;-8.486116;Aveiro;Público;CDE
Escola Profissional de Aveiro - Polo de Sever do Vouga;40.705476;-8.359768;Aveiro;Privado;O
Escola Básica e Secundária de Sever do Vouga;40.727646;-8.365438;Aveiro;Público;CDE
Colégio Diocesano de Nossa Senhora da Apresentação;40.47827;-8.70638;Aveiro;Privado;CDE
Escola Profissional de Agricultura e Desenvolvimento Rural de Vagos;40.545353;-8.752388;Aveiro;Público;DO
Escola Básica Dr. João Rocha - Pai, Vagos;40.544926;-8.683655;Aveiro;Público;BCD
Escola Secundária de Vagos;40.546932;-8.685174;Aveiro;Público;DE
Academia de Música de Vale de Cambra, CRL;40.84491;-8.393649;Aveiro;Privado;M
Escola Básica das Dairas, Vale de Cambra;40.839703;-8.395168;Aveiro;Público;CD
Escola Básica e Secundária de Búzio, Vale de Cambra;40.848408;-8.386979;Aveiro;Público;CDE
Escola Básica Dr. Manuel Brito Camacho, Aljustrel;37.881461;-8.161008;Beja;Público;CD
Escola Secundária de Aljustrel;37.88084;-8.158301;Beja;Público;DE
